cui,name
C0004927,Behavior
C0004935,"Behavior, Animal"
C0036864,Sex Behavior
C0545082,Visit
C0596157,behavior prediction
C1947978,Encounter
C3158835,circadian mating behavior
C4042876,Intimate Partner Violence
